weather_condition,distance_km,delivery_time_hours,time_diff_bin
cold,201.3,8,Ligeramente antes
clear,203.6,7,Ligeramente antes
rainy,253.1,13,Mucho tarde
foggy,3.6,2,Mucho antes
stormy,203.8,10,Mucho antes
stormy,168.9,9,Mucho antes
foggy,77.7,6,Mucho antes
clear,180.0,5,Mucho antes
rainy,44.8,4,Ligeramente tarde
hot,7.1,2,Ligeramente antes
stormy,142.6,6,Ligeramente tarde
clear,191.6,6,Mucho antes
foggy,165.8,5,Mucho antes
foggy,237.1,9,Mucho antes
stormy,71.4,6,Mucho tarde
hot,103.3,5,Mucho antes
stormy,177.0,7,Ligeramente antes
cold,116.9,3,Mucho antes
foggy,233.1,8,Mucho antes
hot,4.7,2,Mucho antes
clear,231.2,6,Mucho antes
rainy,244.2,14,Mucho antes
cold,210.5,7,Mucho antes
clear,165.3,7,Ligeramente antes
cold,74.1,4,Ligeramente tarde
stormy,44.7,5,Mucho tarde
rainy,267.8,10,Mucho antes
clear,297.1,7,Ligeramente antes
cold,50.3,2,Mucho antes
rainy,115.3,9,Mucho antes
cold,69.4,3,Ligeramente antes
cold,62.3,1,Mucho antes
rainy,211.2,10,Mucho antes
hot,280.8,5,Mucho antes
foggy,120.1,7,Mucho tarde
stormy,252.4,15,Mucho antes
clear,262.5,8,Mucho antes
foggy,206.7,10,Mucho tarde
foggy,233.9,6,Mucho antes
stormy,27.8,4,Mucho antes
rainy,237.5,10,Mucho tarde
foggy,45.8,1,Mucho antes
clear,217.6,11,Mucho antes
rainy,286.8,13,Mucho tarde
stormy,86.1,7,Mucho antes
stormy,144.5,6,Ligeramente tarde
clear,142.0,6,Mucho antes
stormy,57.7,7,Mucho tarde
foggy,6.6,2,Mucho antes
rainy,229.1,10,Mucho antes
cold,267.4,8,Ligeramente tarde
hot,81.2,3,Mucho antes
hot,202.1,5,Ligeramente antes
foggy,184.0,5,Ligeramente antes
hot,98.0,2,Ligeramente antes
foggy,82.7,6,Mucho antes
rainy,261.2,13,Mucho tarde
foggy,119.8,7,Ligeramente antes
stormy,297.1,16,Ligeramente antes
stormy,249.7,11,Mucho tarde
rainy,250.5,13,Mucho antes
stormy,66.1,5,Ligeramente tarde
foggy,125.0,6,Ligeramente tarde
rainy,37.5,8,Mucho antes
stormy,113.5,8,Ligeramente antes
rainy,297.1,11,Mucho antes
foggy,190.1,8,Mucho tarde
cold,101.3,4,Ligeramente antes
stormy,88.3,7,Mucho antes
stormy,64.9,8,Mucho antes
stormy,34.0,9,Mucho tarde
clear,51.7,2,Ligeramente antes
clear,110.5,3,Mucho antes
foggy,129.1,10,Mucho antes
clear,115.3,4,Mucho antes
rainy,46.6,5,Mucho antes
clear,84.7,3,Mucho antes
stormy,133.8,6,Ligeramente tarde
cold,26.2,0,Mucho antes
clear,16.0,0,Mucho antes
cold,238.4,6,Mucho antes
foggy,60.7,5,Mucho antes
clear,91.7,3,Mucho antes
rainy,31.0,7,Mucho antes
foggy,56.2,4,Ligeramente tarde
foggy,251.1,11,Mucho tarde
rainy,277.3,14,Mucho antes
cold,124.2,4,Ligeramente antes
stormy,64.6,4,Ligeramente tarde
rainy,208.8,9,Mucho antes
rainy,62.0,3,Ligeramente antes
foggy,204.6,6,Ligeramente antes
cold,206.0,7,Mucho antes
cold,240.2,7,Ligeramente tarde
rainy,77.0,8,Ligeramente antes
hot,96.9,5,Mucho antes
foggy,76.3,5,Mucho antes
rainy,192.1,10,Ligeramente tarde
rainy,292.8,8,Ligeramente tarde
stormy,126.6,6,Mucho antes
foggy,101.7,7,Mucho antes
clear,174.4,3,Mucho antes
rainy,106.7,5,Mucho antes
clear,34.4,1,Mucho antes
clear,149.0,5,Ligeramente tarde
rainy,176.2,10,Mucho antes
cold,130.3,3,Mucho antes
foggy,229.7,12,Mucho antes
stormy,203.7,11,Mucho antes
cold,138.4,4,Mucho antes
hot,284.9,5,Mucho antes
cold,176.5,7,Ligeramente tarde
foggy,108.6,8,Mucho antes
clear,113.1,4,Mucho antes
clear,7.5,0,Mucho antes
cold,201.8,7,Mucho antes
cold,223.8,8,Mucho antes
stormy,67.7,4,Ligeramente tarde
foggy,230.7,10,Mucho antes
clear,203.6,4,Mucho antes
hot,17.3,2,Mucho antes
foggy,80.4,4,Mucho antes
cold,297.1,8,Ligeramente antes
hot,3.6,2,Mucho antes
stormy,276.2,10,Mucho tarde
cold,245.4,5,Mucho antes
foggy,218.5,8,Ligeramente antes
stormy,167.4,8,Mucho antes
rainy,76.9,5,Ligeramente tarde
cold,49.9,3,Mucho antes
clear,18.1,1,Ligeramente antes
rainy,168.9,7,Ligeramente antes
clear,264.2,9,Mucho antes
cold,46.6,3,Mucho antes
hot,72.7,2,Mucho antes
rainy,45.6,6,Mucho antes
cold,187.3,6,Mucho antes
hot,229.0,9,Mucho antes
hot,252.5,6,Mucho antes
stormy,71.8,7,Mucho antes
rainy,210.5,7,Mucho antes
cold,135.6,7,Mucho antes
clear,296.9,8,Ligeramente tarde
rainy,211.1,8,Mucho antes
rainy,31.7,6,Mucho antes
hot,92.0,4,Mucho antes
cold,203.5,5,Mucho antes
cold,209.8,6,Mucho antes
rainy,118.2,8,Ligeramente antes
stormy,90.0,8,Mucho antes
stormy,77.5,7,Mucho tarde
cold,97.6,2,Mucho antes
cold,27.1,0,Mucho antes
rainy,110.0,6,Ligeramente tarde
cold,49.7,2,Mucho antes
cold,66.9,4,Mucho antes
rainy,70.0,4,Ligeramente tarde
hot,52.5,4,Mucho antes
cold,151.3,5,Mucho antes
rainy,199.2,5,Ligeramente antes
rainy,261.1,11,Mucho antes
cold,157.6,9,Mucho antes
hot,16.7,1,Ligeramente antes
hot,99.4,1,Mucho antes
rainy,159.6,6,Mucho antes
rainy,215.3,11,Mucho tarde
clear,69.1,2,Ligeramente antes
hot,227.0,9,Mucho antes
hot,220.7,6,Mucho antes
hot,224.9,5,Ligeramente antes
foggy,199.9,11,Mucho antes
clear,70.5,3,Ligeramente antes
cold,176.3,6,Ligeramente tarde
cold,83.6,2,Mucho antes
foggy,275.0,12,Mucho tarde
hot,16.6,2,Mucho antes
foggy,203.4,8,Ligeramente antes
cold,261.4,6,Mucho antes
stormy,101.1,7,Mucho antes
cold,76.8,1,Mucho antes
hot,34.4,2,Ligeramente antes
stormy,155.9,9,Mucho antes
clear,57.5,2,Ligeramente antes
foggy,177.1,8,Ligeramente antes
stormy,172.2,10,Ligeramente tarde
stormy,39.8,6,Mucho tarde
rainy,207.8,8,Ligeramente tarde
stormy,275.3,14,Mucho antes
rainy,279.4,11,Mucho antes
cold,45.5,1,Ligeramente antes
clear,247.1,7,Ligeramente tarde
rainy,224.6,11,Mucho antes
clear,288.4,8,Ligeramente tarde
rainy,74.7,7,Mucho antes
rainy,173.3,6,Mucho antes
cold,161.2,6,Ligeramente tarde
stormy,248.7,9,Mucho antes
clear,23.6,3,Mucho antes
foggy,157.2,6,Ligeramente tarde
clear,135.7,7,Mucho antes
clear,295.2,12,Mucho antes
stormy,246.5,10,Ligeramente tarde
foggy,286.7,12,Mucho antes
rainy,208.9,11,Mucho antes
hot,72.4,2,Ligeramente antes
cold,199.3,4,Mucho antes
cold,250.6,7,Ligeramente antes
cold,89.2,5,Mucho antes
stormy,175.4,8,Ligeramente antes
rainy,31.4,7,Mucho antes
stormy,44.8,5,Mucho tarde
rainy,120.1,5,Mucho antes
foggy,156.2,5,Mucho antes
foggy,129.1,7,Mucho antes
foggy,12.1,2,Mucho antes
hot,242.2,9,Mucho tarde
hot,89.6,3,Mucho antes
hot,274.1,8,Mucho antes
foggy,72.0,5,Mucho antes
clear,199.7,3,Mucho antes
cold,137.6,7,Ligeramente antes
rainy,7.1,5,Mucho antes
stormy,183.2,12,Mucho antes
clear,10.5,1,Mucho antes
foggy,17.1,3,Mucho antes
clear,198.8,7,Ligeramente antes
cold,149.7,5,Ligeramente tarde
foggy,264.8,7,Ligeramente antes
cold,136.4,5,Mucho antes
foggy,296.1,12,Mucho tarde
foggy,7.2,3,Ligeramente tarde
foggy,276.7,8,Mucho antes
hot,66.6,4,Mucho antes
hot,57.6,3,Mucho antes
cold,146.2,6,Mucho antes
clear,196.0,5,Mucho antes
stormy,187.7,8,Mucho antes
rainy,106.7,6,Mucho antes
cold,184.8,8,Mucho antes
rainy,135.9,8,Mucho antes
clear,63.3,3,Mucho antes
foggy,12.0,1,Mucho antes
cold,196.3,6,Mucho antes
stormy,180.3,5,Mucho antes
hot,151.6,5,Ligeramente antes
stormy,136.1,5,Mucho antes
clear,151.8,6,Mucho antes
cold,34.7,3,Mucho antes
clear,204.8,9,Mucho antes
rainy,258.2,12,Mucho tarde
hot,35.2,2,Mucho antes
cold,231.3,6,Ligeramente antes
rainy,126.2,5,Mucho antes
cold,236.7,4,Mucho antes
clear,151.8,5,Mucho antes
stormy,67.2,6,Mucho antes
rainy,123.9,7,Ligeramente antes
cold,37.5,1,Mucho antes
clear,6.2,2,Mucho antes
stormy,10.1,5,Mucho antes
rainy,288.1,10,Mucho tarde
clear,297.0,6,Mucho antes
stormy,12.8,5,Mucho antes
rainy,57.8,8,Mucho antes
stormy,146.7,7,Mucho tarde
rainy,193.8,11,Mucho antes
foggy,52.5,4,Mucho antes
rainy,64.6,7,Mucho tarde
hot,154.7,5,Mucho antes
cold,15.8,0,Mucho antes
clear,160.5,4,Mucho antes
foggy,265.0,10,Mucho tarde
cold,296.1,8,Ligeramente tarde
cold,162.7,5,Ligeramente antes
cold,111.7,5,Mucho antes
clear,230.9,6,Mucho antes
cold,270.7,9,Ligeramente tarde
clear,145.5,5,Mucho antes
rainy,253.7,7,Mucho antes
foggy,128.7,7,Mucho antes
cold,135.6,3,Mucho antes
foggy,173.7,6,Mucho antes
hot,130.3,6,Mucho antes
stormy,76.1,9,Mucho antes
foggy,262.4,10,Mucho antes
clear,286.4,8,Ligeramente antes
cold,163.9,6,Mucho antes
clear,236.9,6,Mucho antes
rainy,69.0,8,Mucho antes
cold,208.4,5,Ligeramente antes
stormy,93.2,7,Ligeramente antes
rainy,52.5,7,Ligeramente antes
rainy,146.7,8,Mucho tarde
clear,10.2,0,Mucho antes
rainy,88.1,9,Ligeramente tarde
hot,68.0,5,Mucho antes
hot,149.5,4,Mucho antes
hot,149.3,3,Mucho antes
stormy,204.6,11,Mucho tarde
rainy,37.3,4,Ligeramente tarde
hot,132.9,5,Mucho antes
cold,14.4,2,Mucho antes
foggy,240.5,8,Ligeramente antes
stormy,268.0,10,Ligeramente tarde
cold,297.1,9,Ligeramente tarde
clear,156.3,5,Ligeramente antes
foggy,254.8,9,Ligeramente tarde
hot,138.3,6,Mucho antes
rainy,61.7,8,Mucho antes
clear,251.9,10,Ligeramente tarde
rainy,14.9,6,Mucho antes
cold,178.6,6,Mucho antes
rainy,281.0,11,Mucho tarde
cold,82.1,2,Mucho antes
hot,76.5,5,Mucho antes
stormy,32.3,8,Mucho tarde
rainy,151.5,8,Mucho antes
foggy,191.5,9,Ligeramente tarde
rainy,153.6,4,Mucho antes
foggy,102.1,4,Mucho antes
foggy,129.4,6,Mucho antes
foggy,250.3,8,Ligeramente antes
rainy,283.2,12,Mucho tarde
foggy,98.4,4,Mucho antes
stormy,191.5,12,Mucho tarde
stormy,247.6,13,Mucho tarde
cold,190.6,5,Mucho antes
rainy,266.7,14,Mucho antes
cold,199.5,5,Mucho antes
cold,74.8,4,Mucho antes
cold,181.3,5,Mucho antes
hot,168.0,5,Mucho antes
stormy,102.3,6,Mucho antes
foggy,25.3,2,Mucho antes
cold,249.9,8,Ligeramente tarde
hot,237.9,8,Ligeramente antes
foggy,9.5,2,Mucho antes
rainy,217.9,7,Mucho antes
rainy,197.1,10,Mucho tarde
hot,109.8,5,Mucho antes
cold,237.1,5,Mucho antes
cold,248.8,5,Mucho antes
hot,258.5,7,Ligeramente antes
cold,24.1,2,Ligeramente antes
foggy,113.9,6,Ligeramente tarde
hot,10.1,0,Mucho antes
rainy,219.4,10,Mucho antes
stormy,127.1,10,Mucho antes
foggy,225.1,9,Mucho tarde
rainy,238.4,10,Mucho tarde
foggy,20.8,3,Ligeramente tarde
hot,283.2,7,Mucho antes
cold,149.6,7,Mucho antes
stormy,290.2,9,Ligeramente tarde
foggy,41.7,4,Mucho antes
stormy,105.8,9,Ligeramente tarde
foggy,138.0,6,Mucho antes
foggy,282.1,8,Ligeramente antes
rainy,32.4,4,Mucho antes
foggy,164.9,5,Mucho antes
hot,40.7,2,Mucho antes
stormy,67.9,7,Mucho antes
stormy,182.7,12,Mucho tarde
hot,84.8,2,Mucho antes
clear,86.7,2,Mucho antes
hot,201.3,6,Mucho antes
rainy,242.7,7,Mucho antes
rainy,11.2,5,Mucho antes
rainy,68.1,6,Mucho antes
hot,158.5,6,Mucho antes
stormy,272.9,12,Mucho tarde
clear,111.9,4,Mucho antes
clear,87.3,3,Mucho antes
hot,29.1,3,Mucho antes
stormy,63.7,8,Mucho tarde
foggy,149.6,11,Mucho tarde
rainy,88.9,8,Mucho antes
hot,178.6,5,Mucho antes
cold,91.3,3,Mucho antes
cold,72.3,4,Ligeramente tarde
hot,193.7,5,Mucho antes
clear,218.1,8,Mucho antes
stormy,275.9,10,Mucho antes
rainy,170.1,8,Mucho antes
rainy,284.3,11,Mucho tarde
cold,65.7,3,Mucho antes
rainy,159.1,9,Mucho antes
hot,139.0,6,Ligeramente tarde
clear,208.1,6,Ligeramente antes
hot,70.3,4,Mucho antes
foggy,39.9,3,Ligeramente tarde
clear,132.2,4,Mucho antes
clear,204.6,7,Mucho antes
foggy,215.7,8,Mucho antes
stormy,202.5,9,Mucho tarde
hot,194.7,6,Mucho antes
cold,48.8,2,Mucho antes
hot,237.7,9,Mucho antes
clear,168.5,6,Ligeramente tarde
hot,21.4,2,Mucho antes
cold,77.3,1,Mucho antes
stormy,80.5,7,Mucho tarde
foggy,40.7,3,Mucho antes
cold,43.2,3,Ligeramente tarde
clear,267.5,11,Mucho antes
clear,135.5,5,Mucho antes
clear,124.9,4,Mucho antes
hot,243.2,6,Ligeramente antes
clear,109.9,5,Mucho antes
clear,96.1,6,Mucho antes
stormy,62.5,5,Mucho antes
stormy,27.2,6,Mucho antes
rainy,60.4,6,Mucho antes
cold,245.8,5,Mucho antes
foggy,169.6,5,Mucho antes
stormy,176.9,10,Mucho tarde
hot,110.9,3,Mucho antes
hot,148.0,7,Ligeramente antes
foggy,198.0,7,Mucho antes
stormy,125.5,8,Mucho tarde
rainy,100.0,6,Mucho antes
stormy,76.2,7,Mucho tarde
cold,64.3,2,Mucho antes
hot,171.6,6,Mucho antes
rainy,22.6,5,Mucho antes
cold,48.8,2,Mucho antes
hot,177.9,6,Mucho antes
cold,242.2,11,Mucho tarde
hot,80.2,3,Mucho antes
stormy,3.8,4,Mucho antes
hot,200.8,8,Ligeramente antes
cold,13.1,1,Ligeramente antes
foggy,100.3,5,Ligeramente tarde
stormy,135.5,5,Mucho antes
cold,227.0,5,Mucho antes
hot,232.1,5,Mucho antes
clear,125.8,3,Mucho antes
cold,262.3,9,Ligeramente tarde
stormy,115.3,8,Mucho antes
rainy,142.9,5,Ligeramente tarde
hot,119.5,5,Ligeramente tarde
cold,186.1,3,Mucho antes
cold,121.6,3,Mucho antes
clear,279.5,9,Mucho antes
stormy,252.3,11,Mucho antes
clear,117.4,3,Mucho antes
stormy,8.2,6,Mucho antes
foggy,164.2,4,Mucho antes
cold,73.4,4,Ligeramente tarde
clear,96.7,5,Ligeramente tarde
foggy,138.2,6,Mucho antes
hot,241.6,9,Mucho antes
stormy,224.6,11,Mucho antes
foggy,167.7,6,Ligeramente tarde
hot,218.7,6,Mucho antes
rainy,92.8,9,Ligeramente tarde
rainy,148.4,10,Mucho antes
foggy,22.3,3,Mucho antes
foggy,16.7,1,Mucho antes
rainy,49.0,5,Mucho antes
hot,225.6,10,Mucho antes
foggy,276.7,9,Ligeramente tarde
foggy,185.5,7,Ligeramente antes
rainy,13.1,7,Mucho antes
cold,187.3,7,Ligeramente antes
clear,83.3,3,Mucho antes
stormy,263.8,12,Mucho tarde
cold,219.5,5,Mucho antes
hot,109.1,4,Mucho antes
cold,132.7,6,Mucho antes
clear,215.9,8,Ligeramente antes
foggy,278.6,11,Mucho tarde
cold,90.2,3,Ligeramente antes
clear,231.4,5,Mucho antes
cold,206.7,5,Mucho antes
clear,72.6,5,Mucho antes
hot,75.7,2,Mucho antes
hot,64.8,5,Ligeramente tarde
rainy,52.9,6,Mucho tarde
cold,93.9,2,Mucho antes
stormy,39.6,6,Mucho antes
stormy,76.3,7,Mucho tarde
clear,108.9,4,Mucho antes
clear,167.4,7,Mucho antes
clear,131.4,6,Ligeramente tarde
foggy,96.0,6,Mucho antes
rainy,35.8,4,Ligeramente tarde
stormy,168.7,6,Mucho antes
rainy,252.2,14,Mucho antes
foggy,184.8,11,Mucho tarde
cold,170.5,7,Mucho antes
cold,115.6,4,Mucho antes
hot,159.8,4,Mucho antes
stormy,201.6,7,Mucho antes
hot,87.9,4,Mucho antes
hot,286.1,8,Ligeramente antes
hot,7.5,2,Ligeramente antes
foggy,101.2,3,Mucho antes
foggy,294.6,9,Ligeramente tarde
stormy,243.4,8,Mucho antes
cold,17.7,3,Mucho antes
hot,108.8,4,Mucho antes
stormy,206.6,7,Mucho antes
cold,165.7,7,Ligeramente antes
rainy,280.4,11,Mucho antes
hot,236.9,9,Mucho antes
hot,198.2,4,Ligeramente antes
rainy,181.9,7,Mucho antes
stormy,297.1,10,Mucho antes
stormy,151.1,8,Ligeramente antes
stormy,3.6,3,Mucho antes
cold,223.0,7,Ligeramente tarde
rainy,157.7,9,Ligeramente tarde
foggy,253.0,7,Mucho antes
stormy,135.7,9,Mucho antes
clear,49.6,2,Mucho antes
clear,197.1,5,Mucho antes
foggy,274.6,8,Ligeramente antes
hot,28.1,2,Ligeramente antes
foggy,55.3,3,Mucho antes
stormy,69.3,6,Mucho tarde
hot,43.1,3,Ligeramente tarde
stormy,169.3,11,Mucho tarde
stormy,23.9,6,Mucho tarde
stormy,295.4,9,Ligeramente tarde
stormy,51.5,5,Mucho antes
cold,15.9,1,Mucho antes
foggy,100.9,6,Ligeramente tarde
clear,143.4,5,Mucho antes
cold,247.7,6,Mucho antes
foggy,185.4,8,Ligeramente antes
cold,295.1,7,Mucho antes
hot,120.6,2,Mucho antes
stormy,29.0,4,Mucho antes
stormy,273.4,12,Mucho tarde
foggy,172.7,8,Mucho antes
hot,153.8,8,Mucho antes
rainy,135.8,6,Ligeramente tarde
cold,57.1,1,Mucho antes
stormy,111.0,5,Mucho antes
foggy,98.3,6,Mucho antes
rainy,107.8,6,Ligeramente tarde
hot,83.5,4,Mucho antes
foggy,150.7,8,Mucho antes
foggy,225.5,7,Mucho antes
clear,288.1,6,Ligeramente antes
hot,36.1,2,Ligeramente antes
clear,263.2,6,Ligeramente antes
foggy,104.0,4,Ligeramente antes
hot,156.1,4,Mucho antes
foggy,35.6,5,Mucho antes
clear,42.0,1,Ligeramente antes
cold,244.8,5,Mucho antes
clear,154.6,7,Ligeramente tarde
hot,73.2,2,Mucho antes
clear,277.1,7,Mucho antes
hot,258.9,10,Ligeramente tarde
cold,114.2,4,Mucho antes
stormy,61.4,6,Mucho tarde
clear,107.1,4,Ligeramente antes
clear,208.2,5,Mucho antes
rainy,98.7,9,Mucho antes
foggy,143.2,8,Mucho tarde
cold,284.9,7,Mucho antes
clear,282.8,11,Mucho tarde
stormy,136.6,7,Mucho antes
hot,270.0,9,Mucho antes
stormy,116.3,11,Mucho antes
hot,145.1,4,Ligeramente antes
hot,64.5,3,Mucho antes
clear,74.8,1,Mucho antes
cold,208.9,6,Mucho antes
foggy,234.0,11,Mucho antes
foggy,171.6,6,Mucho antes
cold,192.4,8,Mucho antes
hot,94.0,3,Ligeramente antes
clear,270.4,8,Mucho antes
rainy,207.9,8,Ligeramente antes
foggy,261.1,10,Mucho tarde
cold,231.9,5,Mucho antes
clear,141.1,5,Ligeramente tarde
foggy,202.3,6,Ligeramente antes
foggy,42.7,4,Ligeramente tarde
rainy,110.3,8,Mucho antes
stormy,180.1,9,Mucho tarde
rainy,52.8,4,Mucho antes
foggy,246.5,12,Mucho antes
hot,114.0,5,Ligeramente tarde
cold,275.4,10,Mucho antes
clear,248.2,8,Ligeramente tarde
foggy,81.8,4,Mucho antes
clear,3.8,2,Mucho antes
clear,21.0,2,Ligeramente antes
clear,24.8,2,Mucho antes
hot,88.2,1,Mucho antes
stormy,7.3,8,Mucho antes
rainy,140.4,7,Mucho tarde
foggy,175.4,6,Mucho antes
hot,235.2,4,Mucho antes
rainy,267.3,8,Ligeramente tarde
foggy,9.0,3,Mucho antes
clear,295.2,8,Mucho antes
rainy,172.1,8,Mucho tarde
rainy,195.9,10,Ligeramente tarde
clear,68.3,2,Mucho antes
hot,143.0,3,Mucho antes
hot,103.9,3,Ligeramente antes
stormy,121.7,5,Mucho antes
rainy,110.6,6,Mucho antes
clear,50.1,1,Mucho antes
cold,99.5,5,Mucho antes
foggy,222.1,10,Ligeramente tarde
stormy,82.2,9,Ligeramente tarde
stormy,223.0,14,Mucho tarde
hot,140.1,5,Ligeramente tarde
foggy,291.8,13,Mucho tarde
stormy,108.9,8,Ligeramente antes
hot,289.2,8,Ligeramente tarde
cold,16.0,0,Mucho antes
hot,30.4,2,Mucho antes
rainy,78.7,6,Mucho antes
rainy,264.7,13,Mucho antes
foggy,220.2,8,Ligeramente tarde
hot,82.9,3,Mucho antes
cold,3.6,2,Mucho antes
foggy,246.2,7,Ligeramente antes
rainy,256.1,9,Ligeramente tarde
stormy,78.9,7,Mucho tarde
stormy,8.1,7,Mucho antes
clear,291.3,8,Mucho antes
cold,112.3,4,Mucho antes
cold,69.0,2,Mucho antes
cold,290.2,7,Mucho antes
stormy,223.0,13,Mucho tarde
hot,51.1,1,Mucho antes
clear,137.9,5,Mucho antes
clear,127.1,5,Mucho antes
clear,118.1,4,Mucho antes
stormy,202.6,11,Mucho antes
foggy,39.7,5,Mucho antes
hot,132.8,4,Mucho antes
rainy,162.2,6,Mucho antes
rainy,187.2,12,Mucho tarde
foggy,45.9,3,Mucho antes
hot,249.6,9,Mucho antes
rainy,167.4,9,Mucho antes
cold,287.6,11,Mucho antes
rainy,110.8,6,Mucho antes
stormy,274.6,13,Mucho tarde
rainy,30.0,5,Mucho antes
foggy,291.3,11,Mucho tarde
stormy,233.3,10,Mucho tarde
hot,130.9,6,Ligeramente tarde
cold,23.7,2,Mucho antes
rainy,241.8,9,Mucho tarde
hot,127.1,6,Mucho antes
hot,190.3,5,Mucho antes
hot,132.2,5,Mucho antes
stormy,68.8,4,Mucho antes
rainy,24.6,3,Mucho antes
stormy,296.4,13,Mucho tarde
foggy,77.1,5,Ligeramente tarde
foggy,135.9,8,Ligeramente antes
rainy,171.7,7,Mucho antes
foggy,234.4,8,Ligeramente antes
stormy,82.9,7,Mucho antes
clear,230.3,6,Ligeramente antes
foggy,38.4,3,Ligeramente tarde
stormy,245.4,14,Mucho tarde
foggy,271.3,11,Mucho tarde
cold,271.1,7,Ligeramente antes
cold,13.8,1,Mucho antes
foggy,149.9,4,Mucho antes
cold,267.1,9,Mucho antes
stormy,238.0,7,Ligeramente antes
rainy,264.4,11,Mucho tarde
hot,215.0,7,Ligeramente antes
clear,255.7,5,Mucho antes
stormy,19.0,6,Mucho antes
cold,60.1,3,Ligeramente antes
cold,217.4,6,Mucho antes
clear,244.3,7,Ligeramente tarde
cold,55.7,2,Ligeramente antes
foggy,241.6,9,Mucho antes
cold,69.3,4,Mucho antes
stormy,199.6,8,Mucho antes
foggy,155.8,6,Mucho antes
foggy,231.0,6,Mucho antes
clear,130.4,5,Mucho antes
hot,61.7,3,Mucho antes
foggy,246.9,8,Ligeramente antes
rainy,278.1,15,Mucho tarde
stormy,187.6,11,Mucho antes
rainy,259.5,8,Ligeramente antes
clear,7.6,2,Mucho antes
hot,164.1,4,Ligeramente antes
cold,116.3,4,Mucho antes
cold,213.7,4,Mucho antes
cold,99.3,3,Mucho antes
clear,5.1,1,Mucho antes
stormy,142.3,8,Ligeramente antes
rainy,178.7,12,Mucho antes
stormy,203.7,11,Mucho antes
cold,250.0,5,Mucho antes
foggy,297.1,11,Mucho tarde
stormy,229.0,8,Mucho antes
cold,92.3,4,Mucho antes
stormy,282.1,19,Mucho tarde
foggy,203.8,6,Mucho antes
cold,268.5,7,Mucho antes
rainy,125.3,6,Mucho antes
foggy,43.5,5,Mucho antes
cold,204.8,7,Ligeramente tarde
hot,41.6,4,Mucho antes
cold,261.2,6,Mucho antes
rainy,192.9,9,Mucho tarde
rainy,133.3,8,Ligeramente antes
foggy,39.4,5,Mucho antes
stormy,85.1,8,Ligeramente antes
stormy,85.5,7,Mucho tarde
stormy,14.8,2,Mucho antes
rainy,44.7,4,Ligeramente tarde
cold,183.0,6,Mucho antes
hot,12.4,2,Mucho antes
stormy,142.7,11,Mucho tarde
clear,179.1,5,Mucho antes
foggy,74.7,3,Mucho antes
foggy,297.1,8,Ligeramente tarde
stormy,137.8,8,Ligeramente antes
foggy,226.4,9,Mucho tarde
cold,67.5,2,Ligeramente antes
stormy,11.2,6,Mucho antes
clear,22.9,1,Ligeramente antes
rainy,88.4,6,Mucho antes
stormy,91.9,10,Mucho antes
clear,58.3,4,Ligeramente tarde
clear,101.1,3,Mucho antes
stormy,37.4,8,Ligeramente antes
rainy,266.0,10,Mucho tarde
clear,92.0,2,Mucho antes
hot,219.6,7,Ligeramente antes
hot,274.4,8,Ligeramente tarde
hot,280.8,13,Mucho antes
clear,170.2,6,Mucho antes
cold,98.6,5,Mucho antes
clear,272.0,7,Ligeramente antes
stormy,291.7,14,Mucho tarde
cold,226.0,6,Mucho antes
hot,174.0,6,Mucho antes
cold,50.7,1,Mucho antes
stormy,188.4,8,Ligeramente antes
foggy,71.3,6,Mucho antes
rainy,54.3,5,Mucho antes
cold,120.8,3,Mucho antes
foggy,120.5,6,Mucho antes
stormy,152.9,7,Ligeramente tarde
rainy,116.1,6,Ligeramente tarde
rainy,12.4,3,Mucho antes
stormy,145.0,8,Mucho antes
hot,91.0,5,Mucho antes
stormy,177.7,13,Mucho antes
rainy,126.3,5,Mucho antes
rainy,122.0,8,Mucho tarde
stormy,256.9,15,Mucho tarde
foggy,222.6,10,Mucho antes
rainy,237.7,11,Mucho tarde
stormy,190.7,13,Mucho tarde
hot,264.1,5,Mucho antes
foggy,189.8,10,Mucho tarde
cold,9.6,2,Mucho antes
rainy,151.3,6,Mucho antes
foggy,172.8,7,Mucho antes
cold,267.5,7,Mucho antes
clear,155.2,4,Mucho antes
hot,71.7,2,Mucho antes
rainy,135.7,9,Mucho antes
rainy,127.4,6,Mucho antes
clear,167.5,4,Mucho antes
foggy,80.2,5,Mucho antes
rainy,99.7,7,Mucho antes
foggy,288.3,11,Mucho tarde
rainy,147.0,8,Mucho antes
cold,254.6,9,Mucho antes
stormy,288.5,12,Mucho tarde
hot,243.2,6,Mucho antes
clear,119.2,5,Ligeramente tarde
stormy,60.3,6,Mucho antes
hot,241.5,8,Mucho antes
clear,185.1,5,Mucho antes
cold,96.1,2,Mucho antes
rainy,242.8,9,Mucho tarde
cold,173.1,8,Mucho antes
cold,234.5,4,Mucho antes
rainy,152.6,8,Mucho tarde
foggy,184.1,4,Mucho antes
clear,110.2,3,Mucho antes
clear,104.4,5,Mucho antes
foggy,216.5,9,Mucho tarde
foggy,115.4,6,Ligeramente tarde
rainy,122.3,7,Mucho antes
stormy,90.1,7,Mucho antes
cold,239.2,7,Mucho antes
rainy,248.5,7,Ligeramente antes
hot,48.0,2,Mucho antes
foggy,206.2,6,Ligeramente antes
foggy,74.4,5,Mucho antes
rainy,73.9,3,Mucho antes
cold,58.0,2,Mucho antes
foggy,67.4,5,Mucho antes
